date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:06	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Oct%202020%2016:25:06%20GMT	https://sylvainboutoille.fr/robots.txt		(from )
21:55:06	10134/10134	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2016:25:06%20GMT	https://sylvainboutoille.fr/	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/index.html	(from )
21:55:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Oct%202020%2016:25:06%20GMT	http://sylvainboutoille.fr/index.html	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/index.0.delayed	(from https://sylvainboutoille.fr/)
21:55:07	10134/10134	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2016:25:06%20GMT	https://sylvainboutoille.fr/index.html	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/index-2.html	(from https://sylvainboutoille.fr/)
21:55:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Oct%202020%2016:25:07%20GMT	http://sylvainboutoille.fr/sylvainboutoille_op.jpg	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/sylvainboutoille_op.jpg	(from https://sylvainboutoille.fr/)
21:55:07	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Oct%202020%2016:25:07%20GMT	https://sylvainboutoille.fr/sylvainboutoille_op.jpg	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/sylvainboutoille_op.jpg	(from https://sylvainboutoille.fr/)
21:55:07	1861/1861	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-745%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/8.0.1/normalize.min.css	C:/My%20Web%20Sites/sylvainboutoille.fr_/cdnjs.cloudflare.com/ajax/libs/normalize/8.0.1/normalize.min.css	(from https://sylvainboutoille.fr/)
21:55:07	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/My%20Web%20Sites/sylvainboutoille.fr_/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://sylvainboutoille.fr/)
21:55:09	16557/16557	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Aug%202020%2009:53:27%20GMT	https://sylvainboutoille.fr/css/base.css	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/css/base.css	(from https://sylvainboutoille.fr/)
21:55:10	1365/1365	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2029%20Aug%202020%2009:53:30%20GMT	https://sylvainboutoille.fr/img/logo.svg	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/img/logo.svg	(from https://sylvainboutoille.fr/)
21:55:11	365957/365957	---M--	200	added ('OK')	application/javascript	etag:%2275ED6A7%22	https://app.papercups.io/widget.js	C:/My%20Web%20Sites/sylvainboutoille.fr_/app.papercups.io/widget.js	(from https://sylvainboutoille.fr/)
21:55:12	724046/724046	---M--	200	added ('OK')	audio/mpeg	date:Sat,%2029%20Aug%202020%2009:53:27%20GMT	https://sylvainboutoille.fr/flexy.mp3	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/flexy.mp3	(from https://sylvainboutoille.fr/)
21:55:12	315950/315950	---M--	200	added ('OK')	audio/mpeg	date:Sat,%2029%20Aug%202020%2009:53:27%20GMT	https://sylvainboutoille.fr/begital.mp3	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/begital.mp3	(from https://sylvainboutoille.fr/)
21:55:13	21813/21813	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2016:25:13%20GMT	https://sylvainboutoille.fr/flexy.html	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/flexy.html	(from https://sylvainboutoille.fr/)
21:55:13	285484/285484	---M--	200	added ('OK')	audio/mpeg	date:Sat,%2029%20Aug%202020%2009:53:27%20GMT	https://sylvainboutoille.fr/art.mp3	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/art.mp3	(from https://sylvainboutoille.fr/)
21:55:13	13468/13468	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2016:25:13%20GMT	https://sylvainboutoille.fr/begital.html	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/begital.html	(from https://sylvainboutoille.fr/)
21:55:14	10477/10477	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2016:25:14%20GMT	https://sylvainboutoille.fr/art.html	C:/My%20Web%20Sites/sylvainboutoille.fr_/sylvainboutoille.fr/art.html	(from https://sylvainboutoille.fr/)
